(ft) (m) 𝜽 (K) (◦C) 𝜹 (N/m2) (lb/ft2) 𝝈 (kg/m3) (slug/ft3) (m/s) (ft/s) (kt)
42200 12862.6 0.7519 216.65 −56.50 0.1665 16872 352.4 0.2215 0.2713 5.264E-4 295.1 968.1 573.6
42400 12923.5 0.7519 216.65 −56.50 0.1649 16711 349.0 0.2194 0.2687 5.214E-4 295.1 968.1 573.6
42600 12984.5 0.7519 216.65 −56.50 0.1633 16551 345.7 0.2173 0.2661 5.164E-4 295.1 968.1 573.6
42800 13045.4 0.7519 216.65 −56.50 0.1618 16393 342.4 0.2152 0.2636 5.114E-4 295.1 968.1 573.6
43000 13106.4 0.7519 216.65 −56.50 0.1602 16236 339.1 0.2131 0.2611 5.066E-4 295.1 968.1 573.6
43200 13167.4 0.7519 216.65 −56.50 0.1587 16080 335.8 0.2111 0.2586 5.017E-4 295.1 968.1 573.6
43400 13228.3 0.7519 216.65 −56.50 0.1572 15927 332.6 0.2091 0.2561 4.969E-4 295.1 968.1 573.6
43600 13289.3 0.7519 216.65 −56.50 0.1557 15774 329.5 0.2071 0.2536 4.922E-4 295.1 968.1 573.6
43800 13350.2 0.7519 216.65 −56.50 0.1542 15623 326.3 0.2051 0.2512 4.874E-4 295.1 968.1 573.6
44000 13411.2 0.7519 216.65 −56.50 0.1527 15474 323.2 0.2031 0.2488 4.828E-4 295.1 968.1 573.6
44200 13472.2 0.7519 216.65 −56.50 0.1513 15326 320.1 0.2012 0.2464 4.782E-4 295.1 968.1 573.6
44400 13533.1 0.7519 216.65 −56.50 0.1498 15179 317.0 0.1992 0.2441 4.736E-4 295.1 968.1 573.6
44600 13594.1 0.7519 216.65 −56.50 0.1484 15034 314.0 0.1973 0.2417 4.691E-4 295.1 968.1 573.6
44800 13655.0 0.7519 216.65 −56.50 0.1470 14890 311.0 0.1955 0.2394 4.646E-4 295.1 968.1 573.6
45000 13716.0 0.7519 216.65 −56.50 0.1455 14748 308.0 0.1936 0.2371 4.601E-4 295.1 968.1 573.6
45200 13777.0 0.7519 216.65 −56.50 0.1442 14607 305.1 0.1917 0.2349 4.557E-4 295.1 968.1 573.6
45400 13837.9 0.7519 216.65 −56.50 0.1428 14467 302.1 0.1899 0.2326 4.514E-4 295.1 968.1 573.6
45600 13898.9 0.7519 216.65 −56.50 0.1414 14328 299.3 0.1881 0.2304 4.470E-4 295.1 968.1 573.6
45800 13959.8 0.7519 216.65 −56.50 0.1401 14191 296.4 0.1863 0.2282 4.428E-4 295.1 968.1 573.6
46000 14020.8 0.7519 216.65 −56.50 0.1387 14056 293.6 0.1845 0.2260 4.385E-4 295.1 968.1 573.6
46200 14081.8 0.7519 216.65 −56.50 0.1374 13921 290.7 0.1827 0.2238 4.343E-4 295.1 968.1 573.6
46400 14142.7 0.7519 216.65 −56.50 0.1361 13788 288.0 0.1810 0.2217 4.302E-4 295.1 968.1 573.6
46600 14203.7 0.7519 216.65 −56.50 0.1348 13656 285.2 0.1793 0.2196 4.261E-4 295.1 968.1 573.6
46800 14264.6 0.7519 216.65 −56.50 0.1335 13525 282.5 0.1775 0.2175 4.220E-4 295.1 968.1 573.6
47000 14325.6 0.7519 216.65 −56.50 0.1322 13396 279.8 0.1758 0.2154 4.180E-4 295.1 968.1 573.6
47200 14386.6 0.7519 216.65 −56.50 0.1309 13268 277.1 0.1742 0.2133 4.140E-4 295.1 968.1 573.6
47400 14447.5 0.7519 216.65 −56.50 0.1297 13141 274.5 0.1725 0.2113 4.100E-4 295.1 968.1 573.6
47600 14508.5 0.7519 216.65 −56.50 0.1285 13015 271.8 0.1708 0.2093 4.061E-4 295.1 968.1 573.6
47800 14569.4 0.7519 216.65 −56.50 0.1272 12891 269.2 0.1692 0.2073 4.022E-4 295.1 968.1 573.6
48000 14630.4 0.7519 216.65 −56.50 0.1260 12767 266.7 0.1676 0.2053 3.983E-4 295.1 968.1 573.6
48200 14691.4 0.7519 216.65 −56.50 0.1248 12645 264.1 0.1660 0.2033 3.945E-4 295.1 968.1 573.6
48400 14752.3 0.7519 216.65 −56.50 0.1236 12524 261.6 0.1644 0.2014 3.908E-4 295.1 968.1 573.6
48600 14813.3 0.7519 216.65 −56.50 0.1224 12404 259.1 0.1628 0.1995 3.870E-4 295.1 968.1 573.6
48800 14874.2 0.7519 216.65 −56.50 0.1213 12286 256.6 0.1613 0.1976 3.833E-4 295.1 968.1 573.6
49000 14935.2 0.7519 216.65 −56.50 0.1201 12168 254.1 0.1597 0.1957 3.796E-4 295.1 968.1 573.6
49200 14996.2 0.7519 216.65 −56.50 0.1189 12052 251.7 0.1582 0.1938 3.760E-4 295.1 968.1 573.6
49400 15057.1 0.7519 216.65 −56.50 0.1178 11937 249.3 0.1567 0.1919 3.724E-4 295.1 968.1 573.6
49600 15118.1 0.7519 216.65 −56.50 0.1167 11822 246.9 0.1552 0.1901 3.689E-4 295.1 968.1 573.6
49800 15179.0 0.7519 216.65 −56.50 0.1156 11709 244.6 0.1537 0.1883 3.653E-4 295.1 968.1 573.6
50000 15240.0 0.7519 216.65 −56.50 0.1145 11597 242.2 0.1522 0.1865 3.618E-4 295.1 968.1 573.6
50200 15301.0 0.7519 216.65 −56.50 0.1134 11486 239.9 0.1508 0.1847 3.584E-4 295.1 968.1 573.6
50400 15361.9 0.7519 216.65 −56.50 0.1123 11376 237.6 0.1493 0.1829 3.549E-4 295.1 968.1 573.6
50600 15422.9 0.7519 216.65 −56.50 0.1112 11268 235.3 0.1479 0.1812 3.515E-4 295.1 968.1 573.6
50800 15483.8 0.7519 216.65 −56.50 0.1101 11160 233.1 0.1465 0.1794 3.482E-4 295.1 968.1 573.6
51000 15544.8 0.7519 216.65 −56.50 0.1091 11053 230.8 0.1451 0.1777 3.449E-4 295.1 968.1 573.6
51200 15605.8 0.7519 216.65 −56.50 0.1080 10947 228.6 0.1437 0.1760 3.416E-4 295.1 968.1 573.6
51400 15666.7 0.7519 216.65 −56.50 0.1070 10843 226.5 0.1423 0.1743 3.383E-4 295.1 968.1 573.6
51600 15727.7 0.7519 216.65 −56.50 0.1060 10739 224.3 0.1410 0.1727 3.350E-4 295.1 968.1 573.6
51800 15788.6 0.7519 216.65 −56.50 0.1050 10636 222.1 0.1396 0.1710 3.318E-4 295.1 968.1 573.6
52000 15849.6 0.7519 216.65 −56.50 0.1040 10534 220.0 0.1383 0.1694 3.287E-4 295.1 968.1 573.6
52200 15910.6 0.7519 216.65 −56.50 0.1030 10434 217.9 0.1370 0.1678 3.255E-4 295.1 968.1 573.6
52400 15971.5 0.7519 216.65 −56.50 0.1020 10334 215.8 0.1356 0.1662 3.224E-4 295.1 968.1 573.6
52600 16032.5 0.7519 216.65 −56.50 0.1010 10235 213.8 0.1343 0.1646 3.193E-4 295.1 968.1 573.6
52800 16093.4 0.7519 216.65 −56.50 0.1000 10137 211.7 0.1331 0.1630 3.163E-4 295.1 968.1 573.6
53000 16154.4 0.7519 216.65 −56.50 0.0991 10040 209.7 0.1318 0.1614 3.132E-4 295.1 968.1 573.6
53200 16215.4 0.7519 216.65 −56.50 0.0981 9944 207.7 0.1305 0.1599 3.102E-4 295.1 968.1 573.6
53400 16276.3 0.7519 216.65 −56.50 0.0972 9849 205.7 0.1293 0.1584 3.073E-4 295.1 968.1 573.6
53600 16337.3 0.7519 216.65 −56.50 0.0963 9755 203.7 0.1280 0.1569 3.043E-4 295.1 968.1 573.6
53800 16398.2 0.7519 216.65 −56.50 0.0953 9661 201.8 0.1268 0.1554 3.014E-4 295.1 968.1 573.6
54000 16459.2 0.7519 216.65 −56.50 0.0944 9569 199.8 0.1256 0.1539 2.985E-4 295.1 968.1 573.6
54200 16520.2 0.7519 216.65 −56.50 0.0935 9477 197.9 0.1244 0.1524 2.957E-4 295.1 968.1 573.6
54400 16581.1 0.7519 216.65 −56.50 0.0926 9387 196.0 0.1232 0.1509 2.929E-4 295.1 968.1 573.6
54600 16642.1 0.7519 216.65 −56.50 0.0918 9297 194.2 0.1220 0.1495 2.901E-4 295.1 968.1 573.6
54800 16703.0 0.7519 216.65 −56.50 0.0909 9208 192.3 0.1209 0.1481 2.873E-4 295.1 968.1 573.6
55000 16764.0 0.7519 216.65 −56.50 0.0900 9120 190.5 0.1197 0.1466 2.845E-4 295.1 968.1 573.6
55200 16825.0 0.7519 216.65 −56.50 0.0891 9033 188.6 0.1186 0.1452 2.818E-4 295.1 968.1 573.6
55400 16885.9 0.7519 216.65 −56.50 0.0883 8946 186.8 0.1174 0.1439 2.791E-4 295.1 968.1 573.6
55600 16946.9 0.7519 216.65 −56.50 0.0874 8861 185.1 0.1163 0.1425 2.764E-4 295.1 968.1 573.6
55800 17007.8 0.7519 216.65 −56.50 0.0866 8776 183.3 0.1152 0.1411 2.738E-4 295.1 968.1 573.6
56000 17068.8 0.7519 216.65 −56.50 0.0858 8692 181.5 0.1141 0.1398 2.712E-4 295.1 968.1 573.6
56200 17129.8 0.7519 216.65 −56.50 0.0850 8609 179.8 0.1130 0.1384 2.686E-4 295.1 968.1 573.6
56400 17190.7 0.7519 216.65 −56.50 0.0841 8526 178.1 0.1119 0.1371 2.660E-4 295.1 968.1 573.6
56600 17251.7 0.7519 216.65 −56.50 0.0833 8445 176.4 0.1108 0.1358 2.635E-4 295.1 968.1 573.6
56800 17312.6 0.7519 216.65 −56.50 0.0825 8364 174.7 0.1098 0.1345 2.610E-4 295.1 968.1 573.6
57000 17373.6 0.7519 216.65 −56.50 0.0818 8284 173.0 0.1087 0.1332 2.585E-4 295.1 968.1 573.6
57200 17434.6 0.7519 216.65 −56.50 0.0810 8205 171.4 0.1077 0.1319 2.560E-4 295.1 968.1 573.6
57400 17495.5 0.7519 216.65 −56.50 0.0802 8126 169.7 0.1067 0.1307 2.535E-4 295.1 968.1 573.6
57600 17556.5 0.7519 216.65 −56.50 0.0794 8048 168.1 0.1056 0.1294 2.511E-4 295.1 968.1 573.6
57800 17617.4 0.7519 216.65 −56.50 0.0787 7971 166.5 0.1046 0.1282 2.487E-4 295.1 968.1 573.6
58000 17678.4 0.7519 216.65 −56.50 0.0779 7895 164.9 0.1036 0.1270 2.463E-4 295.1 968.1 573.6
58200 17739.4 0.7519 216.65 −56.50 0.0772 7820 163.3 0.1026 0.1257 2.440E-4 295.1 968.1 573.6
58400 17800.3 0.7519 216.65 −56.50 0.0764 7745 161.8 0.1017 0.1245 2.416E-4 295.1 968.1 573.6
58600 17861.3 0.7519 216.65 −56.50 0.0757 7671 160.2 0.1007 0.1233 2.393E-4 295.1 968.1 573.6
58800 17922.2 0.7519 216.65 −56.50 0.0750 7597 158.7 0.0997 0.1222 2.370E-4 295.1 968.1 573.6
59000 17983.2 0.7519 216.65 −56.50 0.0743 7525 157.2 0.0988 0.1210 2.348E-4 295.1 968.1 573.6
59200 18044.2 0.7519 216.65 −56.50 0.0736 7453 155.7 0.0978 0.1198 2.325E-4 295.1 968.1 573.6
59400 18105.1 0.7519 216.65 −56.50 0.0728 7381 154.2 0.0969 0.1187 2.303E-4 295.1 968.1 573.6
59600 18166.1 0.7519 216.65 −56.50 0.0722 7311 152.7 0.0960 0.1176 2.281E-4 295.1 968.1 573.6
59800 18227.0 0.7519 216.65 −56.50 0.0715 7241 151.2 0.0950 0.1164 2.259E-4 295.1 968.1 573.6
60000 18288.0 0.7519 216.65 −56.50 0.0708 7172 149.8 0.0941 0.1153 2.238E-4 295.1 968.1 573.6


